step	robot0_action	robot1_action	robot0_eef_pos	robot1_eef_pos
128	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.08, -0.07, 0.18, 0.0, -0.0, -0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.83]
129	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.09, -0.09, 0.26, -0.0, -0.0, -0.0, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.83]
130	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.07, -0.12, 0.43, -0.01, -0.0, -0.0, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.83]
131	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.08, -0.11, 0.46, -0.02, -0.01, 0.0, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.84]
132	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.06, -0.15, 0.52, -0.03, -0.01, 0.0, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.84]
133	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.06, -0.11, 0.52, -0.03, -0.01, 0.0, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.85]
134	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.09, -0.13, 0.53, -0.04, -0.01, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.86]
135	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.07, -0.1, 0.5, -0.04, -0.01, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.44, 0.86]
136	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.07, -0.08, 0.28, -0.04, -0.01, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.44, 0.87]
137	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.08, -0.13, 0.58, -0.04, -0.01, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.43, 0.88]
138	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.03, -0.06, 0.16, -0.04, -0.01, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.43, 0.88]
139	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.08, -0.14, 0.55, -0.05, -0.01, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.43, 0.89]
140	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.05, -0.07, 0.17, -0.04, -0.01, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.43, 0.89]
141	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.1, -0.13, 0.58, -0.05, -0.01, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.43, 0.9]
142	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.06, -0.05, 0.18, -0.04, -0.01, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.43, 0.9]
143	[0.0, 0.0, 0.0, 1.0, -0.08, -0.01, -1.0]	[0.12, -0.13, 0.62, -0.04, -0.01, 0.02, 1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.43, 0.91]
144	[0.09, -0.13, -0.11, -0.13, -0.0, 0.05, -1.0]	[0.07, -0.11, 0.36, -0.04, -0.01, 0.02, 1.0]	[0.01, -0.36, 1.0]	[-0.18, 0.43, 0.91]
145	[-0.01, -0.14, 0.19, -0.14, -0.0, 0.04, -1.0]	[0.04, -0.08, 0.3, -0.04, -0.01, 0.01, 1.0]	[0.01, -0.36, 1.01]	[-0.18, 0.42, 0.92]
146	[0.34, -0.41, 0.32, -0.11, -0.0, 0.03, -1.0]	[0.08, -0.11, 0.38, -0.04, -0.01, 0.02, 1.0]	[0.01, -0.36, 1.01]	[-0.18, 0.42, 0.92]
147	[0.33, -0.17, 0.71, -0.07, -0.01, 0.03, -1.0]	[0.14, -0.16, 0.5, -0.04, -0.01, 0.02, 1.0]	[0.01, -0.36, 1.01]	[-0.18, 0.42, 0.93]
148	[0.51, -0.58, 0.26, -0.04, 0.0, 0.03, -1.0]	[0.08, -0.07, 0.26, -0.04, -0.01, 0.02, 1.0]	[0.01, -0.37, 1.01]	[-0.18, 0.42, 0.93]
149	[0.63, -0.35, 0.29, -0.04, 0.02, 0.02, -1.0]	[0.15, -0.14, 0.53, -0.04, -0.01, 0.02, 1.0]	[0.01, -0.37, 1.02]	[-0.18, 0.42, 0.94]
150	[0.68, -0.59, 0.19, -0.02, 0.03, 0.02, -1.0]	[0.11, -0.14, 0.41, -0.04, -0.02, 0.02, 1.0]	[0.02, -0.38, 1.03]	[-0.18, 0.42, 0.94]
151	[0.75, -0.38, 0.12, -0.02, 0.03, 0.01, -1.0]	[0.09, -0.07, 0.28, -0.04, -0.02, 0.02, 1.0]	[0.03, -0.38, 1.03]	[-0.18, 0.42, 0.95]
152	[0.72, -0.44, 0.12, -0.02, 0.02, 0.0, -1.0]	[0.12, -0.14, 0.35, -0.04, -0.02, 0.02, 1.0]	[0.03, -0.39, 1.03]	[-0.17, 0.41, 0.95]
153	[0.66, -0.25, 0.16, -0.01, 0.02, 0.0, -1.0]	[0.14, -0.11, 0.38, -0.04, -0.02, 0.02, 1.0]	[0.04, -0.39, 1.03]	[-0.17, 0.41, 0.96]
154	[0.66, -0.52, 0.06, -0.01, 0.02, -0.0, -1.0]	[0.19, -0.14, 0.5, -0.04, -0.02, 0.02, 1.0]	[0.05, -0.4, 1.04]	[-0.17, 0.41, 0.96]
155	[0.69, -0.49, -0.08, -0.03, 0.02, -0.01, -1.0]	[0.1, -0.07, 0.27, -0.04, -0.02, 0.02, 1.0]	[0.06, -0.4, 1.04]	[-0.17, 0.41, 0.97]
156	[0.91, -0.47, -0.2, -0.0, 0.0, -0.01, -1.0]	[0.31, -0.14, 0.41, -0.05, -0.03, 0.03, 1.0]	[0.07, -0.41, 1.04]	[-0.17, 0.41, 0.97]
157	[1.0, -0.21, -0.39, -0.01, 0.0, -0.02, -1.0]	[0.36, -0.13, 0.37, -0.06, -0.03, 0.03, 1.0]	[0.08, -0.41, 1.04]	[-0.16, 0.41, 0.98]
158	[0.82, -0.13, -0.35, -0.01, -0.0, -0.04, -1.0]	[0.42, -0.14, 0.32, -0.06, -0.03, 0.04, 1.0]	[0.09, -0.42, 1.03]	[-0.16, 0.41, 0.98]
159	[0.86, -0.27, -0.26, -0.01, -0.0, -0.05, -1.0]	[0.49, -0.13, 0.26, -0.05, -0.03, 0.04, 1.0]	[0.1, -0.42, 1.03]	[-0.15, 0.4, 0.99]
160	[0.58, -0.01, -0.29, -0.01, -0.01, -0.06, -1.0]	[0.51, -0.15, 0.21, -0.05, -0.03, 0.05, 1.0]	[0.12, -0.42, 1.02]	[-0.15, 0.4, 0.99]
161	[0.71, -0.18, -0.28, -0.01, -0.01, -0.06, -1.0]	[0.53, -0.13, 0.21, -0.05, -0.03, 0.05, 1.0]	[0.13, -0.43, 1.02]	[-0.14, 0.4, 0.99]
162	[0.18, 0.03, -0.2, -0.01, -0.01, -0.07, -1.0]	[0.47, -0.13, 0.12, -0.05, -0.03, 0.06, 1.0]	[0.13, -0.43, 1.02]	[-0.14, 0.4, 1.0]
163	[0.4, -0.11, -0.39, -0.01, -0.01, -0.07, -1.0]	[0.46, -0.11, 0.16, -0.05, -0.03, 0.06, 1.0]	[0.14, -0.43, 1.01]	[-0.13, 0.4, 1.0]
164	[0.05, 0.06, -0.4, -0.02, -0.01, -0.07, -1.0]	[0.39, -0.14, 0.12, -0.04, -0.03, 0.06, 1.0]	[0.15, -0.43, 1.01]	[-0.12, 0.39, 1.0]
165	[0.18, 0.01, -0.38, -0.02, -0.01, -0.06, -1.0]	[0.37, -0.11, 0.16, -0.04, -0.03, 0.06, 1.0]	[0.15, -0.43, 1.0]	[-0.12, 0.39, 1.0]
166	[0.01, 0.21, -0.25, -0.01, -0.01, -0.06, -1.0]	[0.38, -0.15, 0.02, -0.04, -0.03, 0.06, 1.0]	[0.15, -0.43, 1.0]	[-0.11, 0.39, 1.0]
167	[0.25, 0.13, -0.25, -0.01, -0.01, -0.05, -1.0]	[0.33, -0.1, 0.13, -0.03, -0.03, 0.06, 1.0]	[0.15, -0.43, 0.99]	[-0.11, 0.39, 1.01]
168	[0.4, 0.26, -0.15, -0.01, -0.02, -0.05, -1.0]	[0.38, -0.15, 0.1, -0.03, -0.03, 0.06, 1.0]	[0.15, -0.43, 0.99]	[-0.1, 0.39, 1.01]
169	[0.44, 0.14, -0.05, -0.01, -0.01, -0.05, -1.0]	[0.36, -0.08, 0.17, -0.03, -0.03, 0.06, 1.0]	[0.16, -0.43, 0.99]	[-0.1, 0.39, 1.01]
170	[0.39, 0.39, 0.02, -0.01, -0.01, -0.04, -1.0]	[0.44, -0.13, 0.12, -0.03, -0.03, 0.06, 1.0]	[0.16, -0.43, 0.99]	[-0.09, 0.39, 1.01]
171	[0.43, 0.11, 0.03, -0.01, -0.02, -0.04, -1.0]	[0.41, -0.08, 0.2, -0.03, -0.03, 0.06, 1.0]	[0.17, -0.43, 0.99]	[-0.09, 0.38, 1.01]
172	[0.32, 0.16, -0.1, -0.02, -0.02, -0.04, -1.0]	[0.47, -0.09, 0.13, -0.03, -0.03, 0.07, 1.0]	[0.17, -0.43, 0.99]	[-0.08, 0.38, 1.01]
173	[0.25, 0.04, -0.1, -0.02, -0.02, -0.04, -1.0]	[0.47, -0.11, 0.1, -0.02, -0.03, 0.07, 1.0]	[0.17, -0.43, 0.99]	[-0.08, 0.38, 1.02]
174	[0.18, 0.08, -0.28, -0.03, -0.01, -0.04, -1.0]	[0.49, -0.07, 0.09, -0.02, -0.03, 0.08, 1.0]	[0.17, -0.43, 0.99]	[-0.07, 0.38, 1.02]
175	[0.07, 0.01, -0.25, -0.03, -0.02, -0.03, -1.0]	[0.49, -0.11, -0.03, -0.02, -0.02, 0.07, 1.0]	[0.18, -0.43, 0.99]	[-0.06, 0.38, 1.02]
176	[0.1, 0.12, -0.29, -0.03, -0.02, -0.03, -1.0]	[0.52, -0.07, -0.03, -0.02, -0.02, 0.08, 1.0]	[0.18, -0.43, 0.99]	[-0.06, 0.38, 1.02]
177	[0.12, 0.05, -0.36, -0.04, -0.01, -0.03, -1.0]	[0.53, -0.12, -0.14, -0.01, -0.02, 0.08, 1.0]	[0.18, -0.43, 0.99]	[-0.05, 0.38, 1.02]
178	[0.22, 0.21, -0.41, -0.04, -0.01, -0.03, -1.0]	[0.54, -0.07, -0.12, -0.01, -0.02, 0.08, 1.0]	[0.18, -0.43, 0.99]	[-0.04, 0.38, 1.02]
179	[0.25, 0.02, -0.3, -0.05, -0.02, -0.03, -1.0]	[0.52, -0.11, -0.18, -0.01, -0.02, 0.08, 1.0]	[0.18, -0.43, 0.99]	[-0.04, 0.37, 1.02]
180	[0.46, 0.05, -0.09, -0.05, -0.02, -0.03, -1.0]	[0.5, -0.12, -0.2, -0.0, -0.02, 0.08, 1.0]	[0.18, -0.43, 0.99]	[-0.03, 0.37, 1.01]
181	[0.36, -0.18, 0.08, -0.05, -0.02, -0.03, -1.0]	[0.46, -0.17, -0.25, 0.0, -0.01, 0.07, 1.0]	[0.18, -0.43, 0.99]	[-0.02, 0.37, 1.01]
182	[0.42, -0.07, 0.26, -0.05, -0.02, -0.03, -1.0]	[0.45, -0.12, -0.16, 0.01, -0.01, 0.07, 1.0]	[0.18, -0.43, 0.99]	[-0.02, 0.37, 1.01]
183	[0.21, -0.21, 0.45, -0.04, -0.02, -0.03, -1.0]	[0.47, -0.16, -0.19, 0.01, -0.01, 0.07, 1.0]	[0.19, -0.43, 1.0]	[-0.01, 0.37, 1.01]
184	[0.1, -0.07, 0.69, -0.02, -0.02, -0.02, -1.0]	[0.46, -0.12, -0.12, 0.01, -0.01, 0.06, 1.0]	[0.19, -0.43, 1.0]	[-0.0, 0.37, 1.0]
185	[0.04, -0.32, 0.66, -0.01, -0.01, -0.02, -1.0]	[0.47, -0.14, -0.12, 0.01, -0.01, 0.06, 1.0]	[0.19, -0.44, 1.01]	[0.0, 0.37, 1.0]
186	[0.17, -0.25, 0.54, 0.01, -0.01, -0.01, -1.0]	[0.47, -0.11, -0.08, 0.01, -0.01, 0.06, 1.0]	[0.19, -0.44, 1.02]	[0.01, 0.37, 1.0]
187	[0.12, -0.39, 0.51, 0.01, -0.01, -0.01, -1.0]	[0.5, -0.14, -0.14, 0.01, -0.01, 0.06, 1.0]	[0.19, -0.44, 1.02]	[0.01, 0.36, 1.0]
188	[0.19, -0.27, 0.39, 0.02, -0.01, -0.01, -1.0]	[0.54, -0.11, -0.1, 0.01, -0.01, 0.06, 1.0]	[0.2, -0.45, 1.03]	[0.02, 0.36, 1.0]
189	[0.24, -0.38, 0.3, 0.02, -0.01, -0.02, -1.0]	[0.53, -0.14, -0.09, 0.01, -0.01, 0.06, 1.0]	[0.2, -0.45, 1.04]	[0.03, 0.36, 0.99]
190	[0.26, -0.32, 0.12, 0.02, -0.01, -0.02, -1.0]	[0.53, -0.07, 0.0, 0.01, -0.02, 0.06, 1.0]	[0.2, -0.45, 1.04]	[0.03, 0.36, 0.99]
191	[0.29, -0.35, -0.06, 0.02, -0.02, -0.02, -1.0]	[0.5, -0.1, 0.1, 0.01, -0.02, 0.06, 1.0]	[0.2, -0.46, 1.04]	[0.04, 0.36, 0.99]
192	[0.34, -0.23, -0.26, 0.01, -0.01, -0.02, -1.0]	[0.54, -0.04, 0.12, 0.01, -0.02, 0.06, 1.0]	[0.21, -0.46, 1.05]	[0.05, 0.36, 0.99]
193	[0.38, -0.37, -0.21, 0.0, -0.02, -0.03, -1.0]	[0.53, -0.11, -0.04, 0.01, -0.01, 0.06, 1.0]	[0.21, -0.47, 1.04]	[0.05, 0.36, 0.99]
194	[0.29, -0.35, -0.22, -0.01, -0.01, -0.03, -1.0]	[0.48, -0.09, 0.0, 0.01, -0.01, 0.06, 1.0]	[0.21, -0.47, 1.04]	[0.06, 0.36, 0.99]
195	[0.19, -0.41, -0.23, -0.01, -0.0, -0.03, -1.0]	[0.46, -0.13, -0.22, 0.01, -0.01, 0.06, 1.0]	[0.22, -0.48, 1.04]	[0.07, 0.36, 0.99]
196	[0.11, -0.34, -0.41, -0.02, 0.01, -0.03, -1.0]	[0.43, -0.1, -0.07, 0.01, -0.01, 0.06, 1.0]	[0.22, -0.48, 1.04]	[0.07, 0.36, 0.99]
197	[-0.0, -0.3, -0.62, -0.03, 0.01, -0.03, -1.0]	[0.4, -0.14, -0.22, 0.01, -0.0, 0.06, 1.0]	[0.22, -0.49, 1.03]	[0.08, 0.36, 0.99]
198	[-0.2, 0.02, -0.8, -0.04, 0.02, -0.02, -1.0]	[0.39, -0.1, -0.12, 0.02, -0.0, 0.05, 1.0]	[0.22, -0.49, 1.03]	[0.08, 0.35, 0.99]
199	[-0.11, 0.04, -0.86, -0.05, 0.03, -0.02, -1.0]	[0.44, -0.1, -0.13, 0.02, 0.0, 0.05, 1.0]	[0.22, -0.49, 1.02]	[0.09, 0.35, 0.98]
200	[-0.21, 0.42, -0.89, -0.05, 0.04, -0.02, -1.0]	[0.43, -0.1, -0.1, 0.02, 0.0, 0.05, 1.0]	[0.22, -0.49, 1.01]	[0.09, 0.35, 0.98]
201	[-0.08, 0.29, -0.77, -0.06, 0.05, -0.02, -1.0]	[0.48, -0.07, -0.07, 0.01, 0.0, 0.05, 1.0]	[0.21, -0.49, 0.99]	[0.1, 0.35, 0.98]
202	[-0.08, 0.51, -0.65, -0.06, 0.05, -0.01, -1.0]	[0.5, -0.06, -0.05, 0.01, 0.01, 0.05, 1.0]	[0.21, -0.49, 0.98]	[0.11, 0.35, 0.98]
203	[0.18, 0.42, -0.49, -0.06, 0.06, -0.01, -1.0]	[0.5, -0.08, -0.13, 0.02, 0.01, 0.05, 1.0]	[0.2, -0.49, 0.97]	[0.11, 0.35, 0.98]
204	[0.15, 0.56, -0.35, -0.04, 0.06, -0.01, -1.0]	[0.53, -0.02, -0.08, 0.02, 0.01, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.12, 0.35, 0.98]
205	[0.17, 0.56, -0.21, -0.04, 0.06, -0.01, -1.0]	[0.47, -0.02, -0.14, 0.02, 0.01, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.12, 0.35, 0.97]
206	[0.16, 0.63, -0.07, -0.03, 0.06, -0.02, -1.0]	[0.48, -0.02, -0.11, 0.02, 0.01, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.13, 0.35, 0.97]
207	[0.04, 0.61, -0.1, -0.03, 0.06, -0.02, -1.0]	[0.4, -0.03, -0.16, 0.02, 0.01, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.14, 0.35, 0.97]
208	[-0.0, 0.6, -0.05, -0.03, 0.05, -0.02, -1.0]	[0.41, -0.05, -0.1, 0.02, 0.02, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.14, 0.35, 0.97]
209	[0.0, 0.56, -0.02, -0.03, 0.04, -0.02, -1.0]	[0.37, -0.06, -0.06, 0.02, 0.02, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.15, 0.35, 0.97]
210	[0.05, 0.58, -0.04, -0.03, 0.03, -0.02, -1.0]	[0.34, -0.06, -0.05, 0.02, 0.02, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.15, 0.35, 0.97]
211	[-0.04, 0.67, -0.03, -0.02, 0.02, -0.02, -1.0]	[0.35, -0.06, -0.03, 0.01, 0.02, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.16, 0.35, 0.97]
212	[0.08, 0.51, 0.02, -0.02, 0.01, -0.02, -1.0]	[0.34, -0.05, -0.06, 0.02, 0.02, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.16, 0.35, 0.96]
213	[0.09, 0.56, 0.05, -0.02, 0.01, -0.02, -1.0]	[0.4, -0.01, 0.0, 0.01, 0.02, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.17, 0.35, 0.96]
214	[0.0, 0.43, 0.08, -0.02, 0.0, -0.01, -1.0]	[0.44, 0.02, -0.06, 0.01, 0.02, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.17, 0.35, 0.96]
215	[-0.05, 0.4, 0.19, -0.02, -0.0, -0.01, -1.0]	[0.46, 0.04, 0.01, 0.01, 0.02, 0.05, 1.0]	[0.2, -0.49, 0.96]	[0.18, 0.35, 0.96]
216	[-0.06, 0.36, 0.15, -0.01, 0.0, -0.0, -1.0]	[0.44, 0.01, -0.0, 0.01, 0.02, 0.05, 1.0]	[0.2, -0.49, 0.97]	[0.18, 0.35, 0.96]
217	[-0.08, 0.36, 0.16, -0.01, 0.01, 0.0, -1.0]	[0.44, 0.04, 0.0, 0.01, 0.02, 0.05, 1.0]	[0.2, -0.49, 0.97]	[0.19, 0.35, 0.96]
218	[-0.05, 0.28, 0.17, -0.0, 0.01, 0.0, -1.0]	[0.45, 0.01, -0.05, 0.01, 0.02, 0.05, 1.0]	[0.2, -0.48, 0.97]	[0.19, 0.35, 0.96]
219	[0.01, 0.27, 0.06, -0.0, 0.02, 0.0, -1.0]	[0.35, 0.04, -0.01, 0.01, 0.02, 0.05, 1.0]	[0.2, -0.48, 0.97]	[0.2, 0.35, 0.96]
220	[0.18, 0.27, 0.34, 0.01, 0.02, 0.01, -1.0]	[0.31, -0.01, -0.07, 0.01, 0.02, 0.05, 1.0]	[0.2, -0.48, 0.97]	[0.2, 0.35, 0.96]
221	[0.17, 0.2, 0.3, 0.02, 0.02, 0.01, -1.0]	[0.26, 0.01, -0.02, 0.01, 0.01, 0.05, 1.0]	[0.2, -0.48, 0.97]	[0.21, 0.35, 0.96]
222	[0.08, 0.24, 0.46, 0.02, 0.02, 0.01, -1.0]	[0.2, 0.0, 0.0, 0.0, 0.01, 0.05, 1.0]	[0.2, -0.48, 0.98]	[0.21, 0.35, 0.96]
223	[0.03, 0.19, 0.39, 0.02, 0.02, 0.02, -1.0]	[0.21, 0.02, -0.05, 0.0, 0.01, 0.05, 1.0]	[0.2, -0.47, 0.98]	[0.22, 0.35, 0.96]
224	[0.08, 0.36, 0.19, 0.01, 0.01, 0.01, -1.0]	[0.15, 0.02, 0.01, 0.0, 0.01, 0.04, 1.0]	[0.2, -0.47, 0.99]	[0.22, 0.35, 0.96]
225	[0.06, 0.27, -0.14, 0.0, 0.01, 0.01, -1.0]	[0.1, 0.02, 0.01, -0.0, 0.01, 0.04, -1.0]	[0.2, -0.47, 0.99]	[0.22, 0.35, 0.96]
226	[0.09, 0.33, -0.33, -0.0, 0.0, 0.01, -1.0]	[0.08, 0.04, 0.06, -0.01, 0.0, 0.04, -1.0]	[0.2, -0.47, 0.99]	[0.22, 0.35, 0.96]
227	[0.13, 0.28, -0.53, -0.01, 0.0, 0.01, -1.0]	[0.04, 0.01, -0.01, -0.01, -0.0, 0.03, -1.0]	[0.2, -0.46, 0.99]	[0.23, 0.35, 0.96]
228	[0.14, 0.43, -0.51, -0.01, 0.01, 0.0, -1.0]	[-0.06, -0.02, -0.03, -0.01, 0.0, 0.03, -1.0]	[0.2, -0.46, 0.98]	[0.23, 0.35, 0.96]
229	[0.14, 0.37, -0.61, -0.01, 0.01, 0.0, -1.0]	[-0.07, -0.03, 0.01, -0.01, 0.0, 0.03, -1.0]	[0.21, -0.45, 0.98]	[0.23, 0.35, 0.96]
230	[0.1, 0.52, -0.58, -0.01, 0.02, 0.01, -1.0]	[-0.08, -0.04, -0.04, -0.01, 0.0, 0.02, -1.0]	[0.21, -0.44, 0.97]	[0.23, 0.35, 0.96]
231	[0.1, 0.43, -0.71, -0.01, 0.02, 0.01, -1.0]	[-0.07, -0.04, -0.02, -0.01, 0.0, 0.02, -1.0]	[0.21, -0.44, 0.96]	[0.23, 0.35, 0.96]
232	[0.04, 0.23, -0.63, -0.01, 0.04, -0.01, 1.0]	[-0.07, -0.04, 0.02, -0.0, 0.0, 0.01, -1.0]	[0.21, -0.44, 0.96]	[0.23, 0.35, 0.96]
233	[-0.02, 0.13, -0.59, -0.03, 0.03, -0.01, 1.0]	[-0.11, -0.0, -0.01, -0.0, 0.0, 0.01, -1.0]	[0.21, -0.44, 0.96]	[0.23, 0.35, 0.96]
234	[-0.1, -0.01, -0.25, -0.04, 0.02, -0.01, 1.0]	[-0.13, 0.0, 0.01, -0.01, -0.0, 0.01, -1.0]	[0.21, -0.44, 0.96]	[0.22, 0.35, 0.96]
235	[-0.16, -0.04, -0.1, -0.03, 0.02, -0.01, 1.0]	[-0.07, 0.03, 0.04, -0.01, -0.0, 0.01, -1.0]	[0.21, -0.44, 0.96]	[0.22, 0.35, 0.96]
236	[-0.14, -0.15, 0.05, -0.04, 0.02, -0.0, 1.0]	[-0.04, 0.04, 0.05, -0.01, -0.0, 0.0, -1.0]	[0.21, -0.44, 0.96]	[0.22, 0.35, 0.96]
237	[-0.12, -0.14, 0.24, -0.04, 0.02, 0.0, 1.0]	[-0.01, 0.03, 0.05, -0.01, -0.0, 0.01, -1.0]	[0.21, -0.44, 0.97]	[0.22, 0.35, 0.96]
238	[-0.15, -0.15, 0.18, -0.04, 0.02, 0.0, 1.0]	[-0.08, 0.01, 0.04, -0.01, -0.0, 0.0, -1.0]	[0.21, -0.44, 0.97]	[0.22, 0.35, 0.96]
239	[-0.14, -0.15, 0.13, -0.04, 0.02, 0.0, 1.0]	[-0.02, 0.02, 0.06, -0.01, -0.0, 0.0, -1.0]	[0.21, -0.44, 0.97]	[0.22, 0.35, 0.96]
240	[-0.21, -0.12, 0.15, -0.03, 0.02, 0.0, 1.0]	[-0.08, 0.01, 0.08, -0.01, -0.0, 0.0, -1.0]	[0.21, -0.44, 0.97]	[0.22, 0.35, 0.96]
241	[-0.38, -0.14, 0.04, -0.03, 0.01, 0.01, 1.0]	[-0.0, 0.02, 0.06, -0.01, -0.01, 0.0, -1.0]	[0.2, -0.44, 0.98]	[0.22, 0.35, 0.96]
242	[-0.41, -0.08, 0.05, -0.02, 0.01, 0.01, 1.0]	[-0.1, 0.01, 0.09, -0.01, -0.01, 0.0, -1.0]	[0.2, -0.44, 0.98]	[0.22, 0.35, 0.96]
243	[-0.46, 0.01, -0.06, -0.02, 0.02, 0.03, 1.0]	[-0.02, 0.03, 0.08, -0.01, -0.01, 0.0, -1.0]	[0.2, -0.45, 0.98]	[0.22, 0.35, 0.96]
244	[-0.46, 0.02, -0.13, -0.02, 0.02, 0.03, 1.0]	[-0.06, 0.05, 0.05, -0.01, -0.01, 0.0, -1.0]	[0.19, -0.45, 0.98]	[0.22, 0.35, 0.97]
245	[-0.38, 0.05, -0.22, -0.02, 0.02, 0.02, 1.0]	[-0.1, 0.08, 0.17, -0.01, -0.01, 0.0, -1.0]	[0.19, -0.45, 0.98]	[0.22, 0.35, 0.97]
246	[-0.33, 0.02, -0.34, -0.02, 0.03, 0.02, 1.0]	[-0.12, 0.07, 0.17, -0.02, -0.01, 0.0, -1.0]	[0.18, -0.44, 0.98]	[0.22, 0.35, 0.97]
247	[-0.29, 0.01, -0.34, -0.02, 0.03, 0.02, 1.0]	[-0.1, 0.03, 0.1, -0.02, -0.01, -0.0, -1.0]	[0.18, -0.44, 0.97]	[0.22, 0.35, 0.97]
248	[-0.19, 0.02, -0.37, -0.03, 0.04, 0.01, 1.0]	[-0.15, 0.03, 0.11, -0.02, -0.01, -0.0, -1.0]	[0.17, -0.44, 0.97]	[0.22, 0.36, 0.97]
249	[-0.38, -0.03, -0.39, -0.03, 0.04, 0.01, 1.0]	[-0.14, 0.0, 0.01, -0.01, -0.01, -0.0, -1.0]	[0.17, -0.44, 0.97]	[0.21, 0.36, 0.97]
250	[-0.53, -0.06, -0.3, -0.03, 0.04, 0.02, 1.0]	[-0.13, 0.03, 0.14, -0.01, -0.01, -0.0, -1.0]	[0.17, -0.44, 0.97]	[0.21, 0.36, 0.97]
251	[-0.82, -0.03, -0.18, -0.04, 0.04, 0.03, 1.0]	[-0.14, 0.08, 0.1, -0.01, -0.01, -0.01, -1.0]	[0.17, -0.44, 0.97]	[0.21, 0.36, 0.98]
252	[-0.97, -0.03, 0.08, -0.03, 0.02, 0.04, 1.0]	[-0.13, 0.06, 0.23, -0.01, -0.01, -0.01, -1.0]	[0.17, -0.44, 0.97]	[0.21, 0.36, 0.98]
253	[-1.0, 0.03, 0.45, -0.02, 0.02, 0.05, 1.0]	[-0.14, 0.07, 0.17, -0.02, -0.02, -0.01, -1.0]	[0.16, -0.44, 0.97]	[0.21, 0.36, 0.98]
254	[-1.0, -0.04, 0.74, -0.01, 0.02, 0.07, 1.0]	[-0.15, 0.07, 0.29, -0.02, -0.02, -0.0, -1.0]	[0.15, -0.44, 0.97]	[0.21, 0.36, 0.98]
255	[-1.0, 0.13, 0.83, 0.01, 0.01, 0.08, 1.0]	[-0.19, 0.07, 0.3, -0.02, -0.02, -0.01, -1.0]	[0.14, -0.44, 0.98]	[0.2, 0.36, 0.98]
256	[-1.0, 0.16, 0.84, 0.03, 0.01, 0.09, 1.0]	[-0.19, 0.07, 0.33, -0.02, -0.02, -0.01, -1.0]	[0.13, -0.44, 0.99]	[0.2, 0.36, 0.99]
257	[-1.0, 0.27, 0.67, 0.05, 0.01, 0.12, 1.0]	[-0.18, 0.08, 0.26, -0.02, -0.02, -0.01, -1.0]	[0.12, -0.44, 1.0]	[0.2, 0.36, 0.99]
