step	robot0_action	robot0_eef_pos
251	[-0.11, -0.1, -0.05, 0.0, -0.0, 0.01, 1.0]	[-0.12, 0.04, 1.13]
252	[-0.05, -0.08, -0.02, 0.0, -0.0, 0.01, 1.0]	[-0.12, 0.04, 1.13]
253	[-0.02, -0.04, -0.06, 0.0, -0.0, 0.01, 1.0]	[-0.12, 0.04, 1.13]
254	[-0.04, -0.07, -0.08, 0.0, -0.0, 0.01, 1.0]	[-0.12, 0.04, 1.13]
255	[-0.1, -0.02, -0.07, 0.0, -0.0, 0.01, 1.0]	[-0.13, 0.04, 1.13]
256	[-0.08, -0.06, -0.03, 0.0, -0.01, 0.0, 1.0]	[-0.13, 0.04, 1.13]
257	[-0.02, -0.05, -0.03, 0.0, -0.0, 0.0, 1.0]	[-0.13, 0.04, 1.13]
258	[-0.02, -0.06, -0.12, 0.01, -0.01, 0.01, 1.0]	[-0.13, 0.04, 1.13]
259	[-0.07, -0.09, -0.17, 0.01, -0.01, 0.01, 1.0]	[-0.13, 0.04, 1.13]
260	[0.01, 0.0, -0.15, 0.01, -0.01, 0.01, 1.0]	[-0.13, 0.04, 1.13]
261	[0.06, 0.13, -0.13, 0.01, -0.01, 0.01, 1.0]	[-0.13, 0.04, 1.13]
262	[0.03, 0.15, -0.08, 0.01, -0.01, 0.0, 1.0]	[-0.13, 0.04, 1.13]
263	[0.04, 0.11, -0.11, 0.0, -0.01, -0.0, 1.0]	[-0.13, 0.04, 1.12]
264	[0.03, 0.17, -0.03, 0.0, -0.01, -0.0, 1.0]	[-0.13, 0.04, 1.12]
265	[0.06, 0.16, -0.01, 0.0, -0.01, -0.01, 1.0]	[-0.13, 0.04, 1.12]
266	[0.13, 0.14, -0.06, -0.0, -0.01, -0.01, 1.0]	[-0.13, 0.04, 1.12]
267	[0.18, 0.18, -0.07, -0.0, -0.01, -0.01, 1.0]	[-0.13, 0.04, 1.12]
268	[0.17, 0.13, -0.12, -0.0, -0.01, -0.01, 1.0]	[-0.13, 0.05, 1.12]
269	[0.22, 0.02, -0.18, -0.0, -0.0, -0.01, 1.0]	[-0.12, 0.05, 1.12]
270	[0.22, 0.12, -0.11, -0.0, 0.0, -0.01, 1.0]	[-0.12, 0.05, 1.12]
271	[0.11, 0.17, -0.22, -0.01, -0.0, -0.01, 1.0]	[-0.12, 0.05, 1.12]
272	[0.16, 0.06, -0.21, -0.0, -0.01, -0.01, 1.0]	[-0.12, 0.05, 1.12]
273	[0.2, 0.08, -0.24, -0.0, -0.01, -0.0, 1.0]	[-0.12, 0.05, 1.12]
274	[0.16, -0.03, -0.27, -0.0, -0.02, -0.0, 1.0]	[-0.11, 0.05, 1.12]
275	[0.24, -0.05, -0.33, 0.0, -0.02, 0.0, 1.0]	[-0.11, 0.05, 1.12]
276	[0.16, -0.1, -0.25, 0.01, -0.02, 0.0, 1.0]	[-0.11, 0.05, 1.11]
277	[0.13, -0.0, -0.22, 0.01, -0.02, 0.01, 1.0]	[-0.11, 0.05, 1.11]
278	[0.04, -0.07, -0.19, 0.01, -0.03, 0.01, 1.0]	[-0.11, 0.05, 1.11]
279	[0.03, -0.05, -0.2, 0.01, -0.03, 0.01, 1.0]	[-0.1, 0.05, 1.11]
280	[-0.05, -0.07, -0.14, 0.01, -0.04, 0.0, 1.0]	[-0.1, 0.05, 1.1]
281	[-0.06, -0.05, -0.15, 0.01, -0.04, 0.0, 1.0]	[-0.1, 0.05, 1.1]
282	[-0.03, -0.05, -0.14, 0.01, -0.05, -0.0, 1.0]	[-0.1, 0.05, 1.1]
283	[-0.01, -0.02, -0.14, 0.02, -0.05, -0.0, 1.0]	[-0.1, 0.05, 1.1]
284	[-0.03, -0.05, -0.13, 0.02, -0.05, -0.01, 1.0]	[-0.1, 0.05, 1.1]
285	[-0.03, -0.02, -0.14, 0.01, -0.05, -0.01, 1.0]	[-0.1, 0.05, 1.09]
286	[-0.01, 0.05, -0.15, 0.01, -0.05, -0.01, 1.0]	[-0.1, 0.05, 1.09]
287	[0.05, 0.15, -0.23, 0.01, -0.05, -0.01, 1.0]	[-0.1, 0.05, 1.09]
288	[-0.02, 0.11, -0.24, 0.0, -0.06, -0.01, 1.0]	[-0.1, 0.05, 1.09]
289	[0.08, 0.07, -0.26, 0.0, -0.06, -0.02, 1.0]	[-0.1, 0.05, 1.09]
290	[-0.02, 0.11, -0.2, -0.0, -0.06, -0.02, 1.0]	[-0.1, 0.05, 1.09]
291	[0.12, 0.09, -0.14, -0.0, -0.06, -0.01, 1.0]	[-0.1, 0.05, 1.09]
292	[0.02, 0.0, -0.14, -0.0, -0.05, -0.01, 1.0]	[-0.1, 0.05, 1.09]
293	[0.16, 0.01, -0.14, 0.0, -0.05, -0.01, 1.0]	[-0.1, 0.05, 1.09]
294	[0.1, -0.03, -0.1, 0.0, -0.05, -0.01, 1.0]	[-0.1, 0.05, 1.09]
295	[0.18, -0.0, -0.06, 0.0, -0.04, -0.0, 1.0]	[-0.1, 0.05, 1.09]
296	[0.18, 0.01, -0.02, 0.0, -0.03, -0.0, 1.0]	[-0.1, 0.05, 1.09]
297	[0.18, 0.01, -0.01, 0.0, -0.02, -0.0, 1.0]	[-0.09, 0.05, 1.09]
298	[0.12, 0.0, -0.09, 0.0, -0.02, -0.0, 1.0]	[-0.09, 0.05, 1.09]
299	[0.15, -0.02, -0.17, 0.0, -0.02, -0.0, 1.0]	[-0.09, 0.05, 1.09]
300	[0.12, 0.03, -0.17, 0.0, -0.02, -0.0, 1.0]	[-0.09, 0.05, 1.09]
301	[0.13, 0.02, -0.17, 0.0, -0.02, -0.0, 1.0]	[-0.09, 0.05, 1.09]
302	[0.06, -0.02, -0.16, 0.0, -0.03, -0.0, 1.0]	[-0.09, 0.05, 1.09]
303	[0.05, -0.15, -0.14, 0.01, -0.03, 0.0, 1.0]	[-0.09, 0.05, 1.09]
304	[0.06, -0.13, -0.11, 0.01, -0.03, 0.0, 1.0]	[-0.08, 0.05, 1.09]
305	[0.12, -0.11, -0.11, 0.01, -0.03, 0.01, 1.0]	[-0.08, 0.05, 1.09]
306	[0.09, -0.03, -0.04, 0.01, -0.03, 0.01, 1.0]	[-0.08, 0.05, 1.09]
307	[0.1, 0.06, -0.03, 0.01, -0.03, 0.01, 1.0]	[-0.08, 0.05, 1.09]
308	[0.03, 0.02, -0.08, 0.01, -0.03, 0.0, 1.0]	[-0.08, 0.05, 1.09]
309	[0.1, -0.02, -0.13, 0.01, -0.02, -0.0, 1.0]	[-0.08, 0.05, 1.09]
310	[0.0, 0.07, -0.11, 0.01, -0.03, -0.0, 1.0]	[-0.08, 0.05, 1.09]
311	[0.12, 0.09, -0.02, 0.01, -0.03, -0.0, 1.0]	[-0.08, 0.05, 1.09]
312	[0.07, 0.03, -0.04, 0.01, -0.03, 0.0, 1.0]	[-0.08, 0.05, 1.09]
313	[0.2, -0.12, -0.01, 0.01, -0.02, 0.0, 1.0]	[-0.08, 0.05, 1.09]
314	[0.16, -0.07, 0.05, 0.01, -0.01, 0.01, 1.0]	[-0.07, 0.05, 1.09]
315	[-0.01, -0.04, 0.09, 0.01, -0.01, 0.01, 1.0]	[-0.07, 0.05, 1.09]
316	[-0.0, 0.02, 0.09, 0.01, -0.01, 0.01, 1.0]	[-0.07, 0.05, 1.09]
317	[-0.01, 0.02, 0.04, 0.01, -0.01, 0.0, 1.0]	[-0.07, 0.05, 1.09]
318	[-0.03, 0.06, 0.01, 0.01, -0.01, 0.0, 1.0]	[-0.07, 0.05, 1.09]
319	[-0.02, 0.0, -0.06, 0.0, -0.01, 0.0, 1.0]	[-0.07, 0.05, 1.09]
320	[-0.01, 0.02, -0.11, 0.01, -0.02, 0.0, 1.0]	[-0.07, 0.05, 1.09]
321	[-0.04, -0.08, -0.24, 0.01, -0.02, 0.0, 1.0]	[-0.07, 0.05, 1.09]
322	[-0.03, 0.0, -0.3, 0.01, -0.03, -0.0, 1.0]	[-0.07, 0.05, 1.09]
323	[0.02, 0.02, -0.29, 0.01, -0.03, -0.0, 1.0]	[-0.07, 0.05, 1.09]
324	[-0.06, 0.05, -0.27, 0.01, -0.04, -0.0, 1.0]	[-0.07, 0.05, 1.09]
325	[0.0, 0.04, -0.23, 0.01, -0.04, -0.01, 1.0]	[-0.07, 0.05, 1.09]
326	[-0.07, 0.03, -0.21, 0.01, -0.04, -0.0, 1.0]	[-0.07, 0.05, 1.09]
327	[-0.04, 0.02, -0.18, 0.01, -0.04, -0.0, 1.0]	[-0.07, 0.05, 1.09]
328	[-0.1, 0.02, -0.19, 0.01, -0.05, -0.0, 1.0]	[-0.07, 0.05, 1.09]
329	[-0.03, 0.02, -0.16, 0.02, -0.05, -0.0, 1.0]	[-0.07, 0.05, 1.09]
330	[-0.02, 0.05, -0.18, 0.02, -0.05, -0.0, 1.0]	[-0.07, 0.05, 1.09]
331	[-0.02, -0.06, -0.22, 0.01, -0.05, -0.0, 1.0]	[-0.07, 0.05, 1.09]
332	[0.01, 0.06, -0.21, 0.01, -0.05, -0.01, 1.0]	[-0.07, 0.05, 1.09]
333	[0.05, -0.07, -0.24, 0.02, -0.05, -0.01, 1.0]	[-0.07, 0.05, 1.09]
334	[0.06, -0.01, -0.21, 0.02, -0.04, -0.01, 1.0]	[-0.07, 0.05, 1.09]
335	[0.08, -0.01, -0.14, 0.02, -0.04, -0.01, 1.0]	[-0.07, 0.05, 1.09]
336	[0.24, 0.03, 0.01, 0.02, -0.03, -0.0, 1.0]	[-0.07, 0.05, 1.09]
337	[0.22, -0.05, 0.06, 0.02, -0.01, -0.0, 1.0]	[-0.07, 0.05, 1.09]
338	[0.07, 0.06, -0.04, 0.02, -0.01, 0.0, 1.0]	[-0.07, 0.05, 1.09]
339	[0.06, 0.05, -0.1, 0.01, 0.0, 0.03, 1.0]	[-0.07, 0.05, 1.09]
340	[0.05, -0.02, -0.08, 0.02, 0.0, 0.04, 1.0]	[-0.07, 0.05, 1.09]
341	[-0.11, 0.04, -0.12, 0.02, -0.01, 0.04, 1.0]	[-0.07, 0.05, 1.09]
342	[-0.14, -0.02, -0.22, 0.02, -0.03, 0.03, 1.0]	[-0.07, 0.05, 1.09]
343	[-0.12, -0.09, -0.27, 0.03, -0.04, 0.02, 1.0]	[-0.07, 0.05, 1.09]
344	[-0.3, -0.09, -0.3, 0.03, -0.05, 0.01, 1.0]	[-0.07, 0.05, 1.09]
345	[-0.24, -0.2, -0.19, 0.04, -0.05, 0.01, 1.0]	[-0.07, 0.05, 1.09]
346	[-0.22, -0.12, -0.21, 0.04, -0.05, 0.01, 1.0]	[-0.07, 0.04, 1.09]
347	[-0.29, -0.16, -0.09, 0.04, -0.05, 0.01, 1.0]	[-0.07, 0.04, 1.09]
348	[-0.28, -0.03, -0.14, 0.03, -0.06, 0.01, 1.0]	[-0.07, 0.04, 1.09]
349	[-0.18, -0.07, -0.12, 0.02, -0.06, 0.01, 1.0]	[-0.08, 0.04, 1.09]
350	[-0.22, -0.11, -0.1, 0.02, -0.05, 0.01, 1.0]	[-0.08, 0.04, 1.09]
351	[-0.15, -0.14, -0.07, 0.02, -0.05, 0.01, 1.0]	[-0.08, 0.04, 1.09]
352	[-0.08, -0.07, -0.1, 0.01, -0.05, 0.01, 1.0]	[-0.08, 0.04, 1.09]
353	[0.06, -0.03, -0.14, 0.01, -0.04, 0.01, 1.0]	[-0.08, 0.04, 1.08]
354	[0.08, 0.08, -0.23, 0.0, -0.04, 0.01, 1.0]	[-0.08, 0.04, 1.08]
355	[0.16, 0.0, -0.29, 0.0, -0.03, 0.01, 1.0]	[-0.08, 0.04, 1.08]
356	[0.29, 0.21, -0.2, -0.0, -0.02, 0.01, 1.0]	[-0.08, 0.04, 1.08]
357	[0.32, 0.27, -0.25, -0.01, -0.02, 0.0, 1.0]	[-0.08, 0.04, 1.08]
358	[0.36, 0.3, -0.22, -0.01, -0.0, 0.0, 1.0]	[-0.08, 0.04, 1.08]
359	[0.3, 0.29, -0.28, -0.01, 0.0, 0.0, 1.0]	[-0.08, 0.04, 1.07]
360	[0.28, 0.25, -0.31, -0.01, 0.01, -0.0, 1.0]	[-0.08, 0.05, 1.07]
361	[0.09, 0.18, -0.41, -0.01, 0.01, -0.01, 1.0]	[-0.07, 0.05, 1.07]
362	[0.1, 0.15, -0.42, 0.0, 0.01, -0.01, 1.0]	[-0.07, 0.05, 1.07]
363	[0.04, 0.12, -0.38, 0.01, 0.0, -0.01, 1.0]	[-0.07, 0.05, 1.07]
364	[0.03, 0.12, -0.36, 0.02, -0.0, -0.01, 1.0]	[-0.07, 0.05, 1.07]
365	[0.08, 0.12, -0.25, 0.02, -0.01, -0.01, 1.0]	[-0.07, 0.05, 1.07]
366	[0.09, 0.12, -0.26, 0.03, -0.01, -0.01, 1.0]	[-0.07, 0.05, 1.07]
367	[-0.14, 0.1, -0.26, 0.02, -0.02, -0.01, 1.0]	[-0.07, 0.05, 1.07]
368	[0.06, 0.12, -0.27, 0.02, -0.03, -0.01, 1.0]	[-0.07, 0.05, 1.07]
369	[0.16, -0.06, -0.26, 0.03, -0.03, -0.01, 1.0]	[-0.07, 0.05, 1.07]
370	[0.23, -0.1, -0.35, 0.04, -0.03, 0.0, 1.0]	[-0.07, 0.05, 1.07]
371	[0.2, -0.22, -0.26, 0.04, -0.04, 0.01, 1.0]	[-0.07, 0.05, 1.07]
372	[0.14, -0.04, -0.32, 0.04, -0.04, 0.01, 1.0]	[-0.07, 0.05, 1.07]
373	[0.05, 0.03, -0.32, 0.03, -0.05, 0.01, 1.0]	[-0.07, 0.05, 1.07]
374	[-0.03, 0.16, -0.23, 0.02, -0.06, 0.01, 1.0]	[-0.07, 0.05, 1.07]
375	[0.06, 0.01, -0.17, 0.02, -0.06, -0.0, 1.0]	[-0.07, 0.05, 1.07]
376	[0.06, 0.0, -0.29, 0.03, -0.07, -0.0, 1.0]	[-0.07, 0.05, 1.07]
377	[0.04, -0.0, -0.29, 0.03, -0.07, -0.0, 1.0]	[-0.07, 0.05, 1.07]
378	[0.04, 0.02, -0.38, 0.03, -0.08, -0.0, 1.0]	[-0.07, 0.05, 1.07]
379	[0.09, 0.04, -0.4, 0.03, -0.08, -0.0, 1.0]	[-0.07, 0.05, 1.07]
380	[0.02, 0.07, -0.4, 0.04, -0.08, -0.01, -1.0]	[-0.07, 0.05, 1.07]
381	[0.13, 0.09, -0.39, 0.04, -0.07, -0.01, -1.0]	[-0.07, 0.05, 1.07]
382	[-0.11, 0.13, -0.39, 0.05, -0.08, -0.01, -1.0]	[-0.07, 0.05, 1.06]
383	[0.09, 0.25, -0.24, 0.04, -0.07, -0.02, -1.0]	[-0.07, 0.05, 1.06]
384	[0.14, 0.22, -0.22, 0.03, -0.07, -0.02, -1.0]	[-0.07, 0.06, 1.06]
385	[0.09, -0.01, -0.24, 0.04, -0.07, -0.01, -1.0]	[-0.07, 0.06, 1.06]
386	[0.18, -0.1, -0.35, 0.04, -0.07, -0.01, -1.0]	[-0.06, 0.06, 1.06]
387	[0.18, -0.15, -0.45, 0.06, -0.06, -0.0, -1.0]	[-0.06, 0.06, 1.05]
388	[0.19, -0.15, -0.42, 0.06, -0.06, 0.01, -1.0]	[-0.06, 0.06, 1.05]
389	[0.16, -0.15, -0.4, 0.06, -0.06, 0.01, -1.0]	[-0.06, 0.06, 1.04]
390	[0.19, -0.08, -0.47, 0.06, -0.06, 0.01, -1.0]	[-0.06, 0.05, 1.04]
391	[0.14, -0.11, -0.59, 0.07, -0.06, 0.02, -1.0]	[-0.06, 0.05, 1.03]
392	[0.24, -0.07, -0.67, 0.07, -0.06, 0.02, -1.0]	[-0.06, 0.05, 1.02]
393	[0.3, -0.02, -0.68, 0.08, -0.06, 0.02, -1.0]	[-0.05, 0.05, 1.02]
394	[0.2, -0.02, -0.71, 0.09, -0.06, 0.02, -1.0]	[-0.05, 0.05, 1.01]
395	[0.12, -0.01, -0.5, 0.08, -0.06, 0.02, -1.0]	[-0.05, 0.05, 1.0]
396	[0.07, 0.01, -0.45, 0.08, -0.06, 0.01, -1.0]	[-0.05, 0.05, 0.99]
397	[0.14, 0.11, -0.11, 0.08, -0.05, 0.01, -1.0]	[-0.05, 0.05, 0.98]
398	[0.02, 0.08, -0.04, 0.07, -0.05, 0.01, -1.0]	[-0.05, 0.05, 0.98]
399	[0.03, 0.21, 0.33, 0.06, -0.04, 0.0, -1.0]	[-0.04, 0.05, 0.98]
400	[0.0, 0.21, 0.34, 0.04, -0.04, -0.0, -1.0]	[-0.04, 0.05, 0.98]
401	[0.08, 0.32, 0.62, 0.02, -0.04, -0.0, -1.0]	[-0.04, 0.05, 0.98]
402	[0.13, 0.21, 0.48, 0.01, -0.03, -0.0, -1.0]	[-0.04, 0.06, 0.99]
403	[0.19, 0.16, 0.44, 0.0, -0.02, -0.0, -1.0]	[-0.04, 0.06, 1.0]
404	[0.16, 0.13, 0.27, 0.0, -0.02, -0.0, -1.0]	[-0.04, 0.06, 1.0]
405	[0.25, 0.08, 0.18, 0.0, -0.01, -0.0, -1.0]	[-0.03, 0.06, 1.01]
406	[0.24, 0.05, 0.14, 0.01, -0.0, 0.0, -1.0]	[-0.03, 0.07, 1.01]
407	[0.31, -0.01, 0.18, 0.01, -0.0, 0.01, -1.0]	[-0.03, 0.07, 1.01]
408	[0.34, -0.1, 0.2, 0.01, -0.0, 0.03, -1.0]	[-0.03, 0.07, 1.02]
409	[0.32, -0.21, 0.14, 0.03, -0.02, 0.06, -1.0]	[-0.02, 0.07, 1.02]
410	[0.38, -0.25, 0.14, 0.04, -0.01, 0.09, -1.0]	[-0.02, 0.06, 1.02]
411	[0.36, -0.24, 0.04, 0.06, -0.02, 0.12, -1.0]	[-0.02, 0.06, 1.02]
412	[0.35, -0.31, 0.15, 0.07, -0.01, 0.14, -1.0]	[-0.01, 0.06, 1.02]
413	[0.39, -0.3, 0.33, 0.08, -0.0, 0.16, -1.0]	[-0.01, 0.06, 1.03]
414	[0.27, -0.39, 0.29, 0.09, -0.01, 0.17, -1.0]	[-0.01, 0.05, 1.03]
415	[0.14, -0.47, 0.33, 0.1, -0.0, 0.18, -1.0]	[-0.0, 0.05, 1.03]
416	[0.16, -0.59, 0.16, 0.12, -0.02, 0.2, -1.0]	[-0.0, 0.04, 1.04]
417	[0.14, -0.56, 0.34, 0.13, -0.02, 0.21, -1.0]	[0.0, 0.04, 1.04]
418	[0.05, -0.61, 0.23, 0.13, -0.05, 0.23, -1.0]	[0.0, 0.03, 1.04]
419	[0.23, -0.68, 0.2, 0.12, -0.07, 0.24, -1.0]	[0.01, 0.02, 1.05]
420	[0.04, -0.81, -0.12, 0.13, -0.08, 0.25, -1.0]	[0.01, 0.01, 1.05]
421	[0.11, -1.0, -0.28, 0.14, -0.11, 0.26, -1.0]	[0.01, 0.0, 1.05]
422	[0.16, -1.0, -0.48, 0.14, -0.14, 0.28, -1.0]	[0.01, -0.01, 1.05]
423	[0.13, -1.0, -0.64, 0.14, -0.18, 0.31, -1.0]	[0.02, -0.02, 1.04]
424	[0.11, -1.0, -0.65, 0.16, -0.19, 0.3, -1.0]	[0.02, -0.03, 1.04]
425	[0.03, -1.0, -0.48, 0.16, -0.21, 0.3, -1.0]	[0.03, -0.05, 1.03]
426	[-0.02, -1.0, -0.17, 0.14, -0.22, 0.3, -1.0]	[0.03, -0.06, 1.02]
427	[-0.04, -1.0, -0.08, 0.13, -0.24, 0.29, -1.0]	[0.03, -0.07, 1.02]
428	[-0.23, -0.96, -0.22, 0.12, -0.26, 0.28, -1.0]	[0.04, -0.08, 1.02]
429	[-0.28, -0.88, -0.4, 0.14, -0.26, 0.26, -1.0]	[0.04, -0.1, 1.02]
430	[-0.4, -0.82, -0.45, 0.14, -0.27, 0.24, -1.0]	[0.04, -0.11, 1.01]
431	[-0.6, -0.65, -0.26, 0.13, -0.28, 0.22, -1.0]	[0.04, -0.12, 1.01]
432	[-0.51, -0.6, -0.18, 0.11, -0.3, 0.2, -1.0]	[0.04, -0.13, 1.0]
433	[-0.65, -0.36, -0.18, 0.09, -0.33, 0.19, -1.0]	[0.04, -0.14, 1.0]
434	[-0.28, -0.57, -0.3, 0.07, -0.33, 0.17, -1.0]	[0.04, -0.14, 1.0]
435	[-0.25, -0.38, -0.44, 0.08, -0.31, 0.16, -1.0]	[0.04, -0.15, 1.0]
436	[0.04, -0.62, -0.43, 0.09, -0.27, 0.16, -1.0]	[0.04, -0.16, 0.99]
437	[-0.05, -0.12, -0.28, 0.08, -0.24, 0.15, -1.0]	[0.04, -0.16, 0.99]
438	[-0.09, -0.44, -0.23, 0.08, -0.2, 0.13, -1.0]	[0.03, -0.17, 0.99]
439	[-0.23, -0.01, -0.34, 0.08, -0.17, 0.12, -1.0]	[0.03, -0.17, 0.98]
440	[-0.24, -0.33, -0.33, 0.08, -0.16, 0.1, -1.0]	[0.03, -0.18, 0.98]
441	[-0.07, 0.11, -0.25, 0.08, -0.14, 0.09, -1.0]	[0.02, -0.18, 0.97]
442	[0.15, -0.21, -0.34, 0.07, -0.13, 0.1, -1.0]	[0.02, -0.18, 0.97]
443	[0.33, 0.34, -0.36, 0.07, -0.12, 0.1, -1.0]	[0.02, -0.18, 0.96]
444	[0.19, -0.22, -0.67, 0.09, -0.1, 0.1, -1.0]	[0.02, -0.18, 0.96]
445	[0.25, 0.36, -0.44, 0.09, -0.07, 0.09, -1.0]	[0.02, -0.18, 0.95]
446	[0.13, -0.18, -0.62, 0.1, -0.07, 0.08, -1.0]	[0.01, -0.18, 0.94]
447	[0.42, 0.2, -0.37, 0.1, -0.06, 0.08, -1.0]	[0.01, -0.18, 0.93]
448	[0.38, -0.18, -0.51, 0.11, -0.06, 0.08, -1.0]	[0.01, -0.18, 0.93]
449	[0.52, 0.05, -0.34, 0.1, -0.06, 0.08, -1.0]	[0.02, -0.18, 0.92]
450	[0.46, -0.04, -0.3, 0.09, -0.04, 0.08, -1.0]	[0.02, -0.18, 0.91]
451	[0.56, 0.22, -0.3, 0.09, -0.04, 0.09, -1.0]	[0.02, -0.18, 0.91]
452	[0.51, 0.13, -0.19, 0.09, -0.03, 0.09, -1.0]	[0.03, -0.17, 0.9]
453	[0.41, 0.4, -0.02, 0.08, -0.03, 0.09, -1.0]	[0.03, -0.17, 0.9]
454	[0.4, 0.27, -0.14, 0.08, -0.04, 0.08, -1.0]	[0.03, -0.17, 0.9]
455	[0.4, 0.39, -0.17, 0.07, -0.03, 0.09, -1.0]	[0.04, -0.17, 0.89]
456	[0.63, 0.24, -0.11, 0.07, -0.03, 0.09, -1.0]	[0.04, -0.16, 0.89]
457	[0.43, 0.32, -0.05, 0.07, -0.02, 0.09, -1.0]	[0.05, -0.16, 0.89]
458	[0.34, -0.05, -0.11, 0.07, -0.02, 0.08, -1.0]	[0.05, -0.15, 0.89]
459	[0.15, -0.07, -0.16, 0.06, -0.01, 0.06, -1.0]	[0.06, -0.15, 0.89]
460	[0.19, -0.31, -0.18, 0.06, -0.01, 0.06, -1.0]	[0.06, -0.15, 0.88]
461	[0.22, -0.27, -0.42, 0.05, -0.01, 0.04, -1.0]	[0.06, -0.15, 0.88]
462	[0.08, -0.47, -0.26, 0.05, -0.02, 0.04, -1.0]	[0.07, -0.16, 0.88]
463	[0.03, -0.35, -0.14, 0.04, -0.02, 0.03, -1.0]	[0.07, -0.16, 0.87]
464	[0.07, -0.54, -0.17, 0.04, -0.03, 0.03, -1.0]	[0.07, -0.17, 0.87]
465	[0.22, -0.34, -0.24, 0.03, -0.04, 0.03, -1.0]	[0.07, -0.17, 0.87]
466	[0.17, -0.51, -0.18, 0.03, -0.04, 0.03, -1.0]	[0.07, -0.18, 0.87]
467	[0.18, -0.3, -0.45, 0.02, -0.04, 0.03, -1.0]	[0.08, -0.18, 0.86]
468	[0.06, -0.45, -0.29, 0.02, -0.04, 0.02, -1.0]	[0.08, -0.19, 0.86]
469	[0.03, -0.13, -0.36, 0.02, -0.04, 0.02, -1.0]	[0.08, -0.19, 0.85]
470	[-0.02, -0.32, -0.36, 0.02, -0.05, 0.01, -1.0]	[0.08, -0.2, 0.85]
471	[-0.07, 0.08, -0.24, 0.02, -0.04, 0.01, -1.0]	[0.08, -0.2, 0.85]
472	[-0.11, -0.21, -0.43, 0.02, -0.04, -0.0, -1.0]	[0.08, -0.2, 0.84]
473	[-0.28, 0.05, -0.29, 0.02, -0.04, -0.01, -1.0]	[0.08, -0.21, 0.84]
474	[-0.38, -0.09, -0.4, 0.02, -0.04, -0.02, -1.0]	[0.08, -0.21, 0.83]
475	[-0.52, 0.09, -0.29, 0.02, -0.04, -0.03, -1.0]	[0.08, -0.21, 0.83]
476	[-0.43, -0.02, -0.21, 0.01, -0.05, -0.04, -1.0]	[0.07, -0.21, 0.83]
477	[-0.4, 0.03, -0.04, 0.01, -0.05, -0.05, -1.0]	[0.07, -0.21, 0.83]
478	[-0.33, -0.03, 0.09, -0.0, -0.05, -0.05, -1.0]	[0.07, -0.21, 0.82]
479	[-0.29, 0.0, 0.06, -0.01, -0.05, -0.05, -1.0]	[0.06, -0.21, 0.83]
480	[-0.2, -0.08, 0.03, -0.01, -0.04, -0.04, -1.0]	[0.06, -0.21, 0.83]
481	[-0.2, -0.07, -0.08, -0.01, -0.04, -0.04, -1.0]	[0.06, -0.21, 0.83]
482	[-0.2, -0.06, -0.1, -0.01, -0.03, -0.04, -1.0]	[0.05, -0.21, 0.83]
483	[-0.29, 0.01, -0.24, -0.0, -0.02, -0.04, -1.0]	[0.05, -0.21, 0.83]
484	[-0.19, -0.03, -0.13, 0.0, -0.02, -0.04, -1.0]	[0.05, -0.21, 0.82]
485	[-0.16, 0.01, -0.19, 0.01, -0.02, -0.04, -1.0]	[0.04, -0.21, 0.82]
486	[-0.09, 0.02, -0.23, 0.02, -0.02, -0.04, -1.0]	[0.04, -0.21, 0.82]
487	[-0.06, 0.13, -0.26, 0.03, -0.01, -0.03, -1.0]	[0.04, -0.21, 0.82]
488	[-0.01, 0.17, -0.08, 0.03, -0.02, -0.02, -1.0]	[0.04, -0.21, 0.81]
489	[-0.04, 0.23, -0.02, 0.03, -0.02, -0.01, -1.0]	[0.04, -0.21, 0.81]
490	[-0.05, 0.18, -0.05, 0.04, -0.02, -0.01, -1.0]	[0.04, -0.21, 0.81]
491	[-0.01, 0.21, -0.12, 0.04, -0.02, -0.0, -1.0]	[0.03, -0.21, 0.81]
492	[0.05, 0.11, -0.07, 0.04, -0.03, 0.01, -1.0]	[0.03, -0.21, 0.81]
493	[0.05, 0.1, -0.07, 0.04, -0.03, 0.01, -1.0]	[0.03, -0.21, 0.81]
494	[0.09, 0.06, -0.04, 0.04, -0.03, 0.01, -1.0]	[0.04, -0.21, 0.81]
495	[0.22, 0.11, 0.06, 0.04, -0.03, 0.02, -1.0]	[0.04, -0.21, 0.81]
496	[0.12, 0.04, 0.06, 0.03, -0.03, 0.03, -1.0]	[0.04, -0.21, 0.81]
497	[0.11, 0.04, 0.08, 0.03, -0.03, 0.03, -1.0]	[0.04, -0.2, 0.81]
498	[0.04, 0.02, 0.08, 0.02, -0.03, 0.02, 1.0]	[0.04, -0.2, 0.81]
499	[-0.02, 0.01, -0.02, 0.01, -0.03, 0.02, 1.0]	[0.04, -0.2, 0.81]
500	[0.07, -0.07, -0.18, 0.02, -0.04, 0.02, 1.0]	[0.04, -0.2, 0.81]
501	[0.18, -0.07, -0.15, 0.02, -0.02, 0.02, 1.0]	[0.04, -0.2, 0.81]
502	[0.03, -0.02, 0.12, 0.01, -0.01, 0.01, 1.0]	[0.04, -0.21, 0.81]
503	[0.05, -0.08, -0.02, 0.01, -0.01, 0.01, 1.0]	[0.04, -0.21, 0.81]
504	[0.06, -0.06, 0.02, 0.01, -0.0, 0.01, 1.0]	[0.04, -0.21, 0.81]
